Code,School Name,Street,Suburb,State,Postcode,Postal Street,Postal Suburb,Postal State,Postal Postcode,Latitude,Longitude,Phone,Education Region,Broad Classification,Classification Group,Low Year,High Year,KIN,PPR,Y01,Y02,Y03,Y04,Y05,Y06,UPR,Y07,Y08,Y09,Y10,Y11,Y12,USE,Total Students,BE Score,ICSEA,ATAR Rank,Median ATAR,Eligible Year 12 students,Students with ATAR,% students with ATAR
1374,ST ANDREW'S GRAMMAR,2 HELLENIC DRIVE,DIANELLA,WA,6059,2 HELLENIC DRIVE,DIANELLA,WA,6059,-31.87118268,115.8741054,08 9376 5850,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,35,30,36,29,52,27,42,24,,45,46,35,27,21,26,,475,97,1078,,,,,
1391,AUSTRALIAN ISLAMIC COLLEGE - NORTH OF THE RIVER,81 CLEVELAND STREET,DIANELLA,WA,6059,81 CLEVELAND STREET,DIANELLA,WA,6059,-31.90293601,115.8744467,08 9375 9770,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y10,50,78,81,82,91,86,75,82,,75,40,30,22,,,,792,,,,,,,
1125,PERTH COLLEGE,31 LAWLEY CRESCENT,MOUNT LAWLEY,WA,6050,31 LAWLEY CRESCENT,MOUNT LAWLEY,WA,6050,-31.93117853,115.8754809,08 9471 2100,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,39,16,19,26,32,27,48,65,,108,140,132,111,136,129,,1028,99,1153,9,89.4,129,116,89.92
4126,WILLETTON SENIOR HIGH SCHOOL,PINETREE GULLY ROAD,WILLETTON,WA,6155,PINETREE GULLY ROAD,WILLETTON,WA,6155,-32.06131317,115.8792246,08 9334 7200,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,448,451,425,410,409,396,,2539,99,1117,18,87.75,393,277,70.48
4204,WESTERN AUSTRALIAN COLLEGE OF AGRICULTURE - HARVEY,MORNINGTON ROAD,WOKALUP,WA,6221,PO BOX 496,HARVEY,WA,6220,-33.14579679,115.8794784,08 9782 2100,SOUTH WEST,Agricultural Colleges,SECONDARY SCHOOLS,Y10,Y12,,,,,,,,,,,,,50,71,47,,168,,,,,,,
1151,TRINITY COLLEGE,2 TRINITY AVENUE,EAST PERTH,WA,6004,2 TRINITY AVENUE,EAST PERTH,WA,6004,-31.96013472,115.8825766,08 9223 8133,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y04,Y12,,,,,,44,88,100,,176,180,168,146,178,136,,1216,96,1113,43,82.85,136,90,66.18
4051,MORLEY SENIOR HIGH SCHOOL,19-43 BRAMWELL ROAD,NORANDA,WA,6062,19-43 BRAMWELL ROAD,NORANDA,WA,6062,-31.8737169,115.8836692,08 9376 5555,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,178,178,174,177,184,167,,1058,88,1009,100,73.7,161,71,44.1
4029,KENT STREET SENIOR HIGH SCHOOL,89 KENT STREET,EAST VICTORIA PARK,WA,6101,89 KENT STREET,EAST VICTORIA PARK,WA,6101,-31.98570399,115.8926602,08 9262 0500,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,170,225,176,164,146,146,,1027,87,1023,93,74.65,134,45,33.58
1045,CLONTARF ABORIGINAL COLLEGE,295 MANNING ROAD,WATERFORD,WA,6152,295 MANNING ROAD,WATERFORD,WA,6152,-32.01565323,115.8929678,08 9251 0666,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,,,,,,,,,,26,21,31,36,34,29,,177,72,696,,,,,
4067,CARNAMAH DISTRICT HIGH SCHOOL,48 MCPHERSON STREET,CARNAMAH,WA,6517,48 MCPHERSON STREET,CARNAMAH,WA,6517,-29.68727976,115.893099,08 9951 1266,MIDWEST,District High Schools,DISTRICT HIGH SCHOOLS,KIN,Y12,2,7,5,6,10,5,4,5,,10,9,6,10,1,6,,86,77,958,,,,,
4158,BALLAJURA COMMUNITY COLLEGE,ILLAWARRA CRESCENT SOUTH,BALLAJURA,WA,6066,ILLAWARRA CRESCENT SOUTH,BALLAJURA,WA,6066,-31.84474671,115.8934345,08 9262 7777,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,215,195,179,208,196,223,,1216,85,977,133,62.5,221,80,36.2
4500,CANNING COLLEGE,MARQUIS STREET,BENTLEY,WA,6102,PO BOX 1148,BENTLEY DC,WA,6983,-32.00942925,115.8971202,08 9278 3500,SOUTH METROPOLITAN,Senior Colleges,SECONDARY SCHOOLS,Y10,Y12,,,,,,,,,,,,,13,37,101,61,212,Not Rated,,,,,,
1316,PERTH INDIVIDUAL,150 BURSWOOD ROAD,BURSWOOD,WA,6100,150 BURSWOOD ROAD,BURSWOOD,WA,6100,-31.96552356,115.8978344,08 9362 3186,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y11,19,6,14,9,9,7,8,5,,3,,4,8,3,,,95,,,,,,,
1369,URSULA FRAYNE CATHOLIC COLLEGE,15 DUNCAN STREET,VICTORIA PARK,WA,6100,15 DUNCAN STREET,VICTORIA PARK,WA,6100,-31.97297817,115.8990335,08 9470 0900,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,60,60,60,60,60,64,63,96,,163,158,161,128,157,116,,1406,95,1097,41,83.15,115,82,71.3
1085,CHISHOLM CATHOLIC COLLEGE,1104 BEAUFORT STREET,BEDFORD,WA,6052,1104 BEAUFORT STREET,BEDFORD,WA,6052,-31.91151257,115.9005647,08 9208 2500,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,,,,,,,,,,305,295,293,288,258,236,,1675,96,1070,29,84.8,234,126,53.85
4026,JOHN FORREST SECONDARY COLLEGE,180 DRAKE STREET,MORLEY,WA,6062,180 DRAKE STREET,MORLEY,WA,6062,-31.90416352,115.90089,08 9473 4000,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,201,194,187,178,189,165,,1114,91,1025,74,78.7,161,52,32.3
1448,ONESCHOOL GLOBAL WA,8 WOODTHORPE DRIVE,WILLETTON,WA,6155,8 WOODTHORPE DRIVE,WILLETTON,WA,6155,-32.05654231,115.9017197,08 6250 2000,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y03,Y12,,,,,30,23,15,15,,29,18,22,32,39,27,,250,,,,,,,
4023,HARVEY SENIOR HIGH SCHOOL,51 SOUTH WEST HIGHWAY,HARVEY,WA,6220,51 SOUTH WEST HIGHWAY,HARVEY,WA,6220,-33.08407299,115.9079627,08 9782 3800,SOUTH WEST,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,39,45,43,34,30,18,,209,75,935,,,,,
1099,ST CLARE'S SCHOOL,14-16 MCCARTNEY CRESCENT,LATHLAIN,WA,6100,14-16 MCCARTNEY CRESCENT,LATHLAIN,WA,6100,-31.9711354,115.9086158,08 9366 7500,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y08,Y12,,,,,,,,,,,3,5,9,10,13,,40,Not Rated,960,,,,,
4135,GINGIN DISTRICT HIGH SCHOOL,1 DAW STREET,GINGIN,WA,6503,1 DAW STREET,GINGIN,WA,6503,-31.34427642,115.9123687,08 9575 5300,NORTH METROPOLITAN,District High Schools,DISTRICT HIGH SCHOOLS,KIN,Y10,21,22,28,22,17,21,24,19,,24,14,23,26,,,,261,80,967,,,,,
4113,LYNWOOD SENIOR HIGH SCHOOL,436 METCALFE ROAD,PARKWOOD,WA,6147,436 METCALFE ROAD,PARKWOOD,WA,6147,-32.04190909,115.9161296,08 9354 0600,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,222,231,197,189,341,237,,1417,86,980,96,74.35,228,48,21.05
1470,FOUNTAIN COLLEGE,12 KARRI WAY,FERNDALE,WA,6148,12 KARRI WAY,FERNDALE,WA,6148,-32.03648539,115.9200109,08 9458 3555,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,26,21,19,34,28,21,27,28,,46,34,29,27,29,11,,380,87,985,,,,,
4174,CANNING VALE COLLEGE,26 DUMBARTON ROAD,CANNING VALE,WA,6155,26 DUMBARTON ROAD,CANNING VALE,WA,6155,-32.08291838,115.9227838,08 9334 9000,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,233,208,247,274,278,219,,1459,91,1030,68,79.8,207,82,39.61
4022,HAMPTON SENIOR HIGH SCHOOL,MORLEY DRIVE EAST,MORLEY,WA,6062,PO BOX 590,MORLEY,WA,6943,-31.89085713,115.92693,08 6235 7100,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,177,144,162,142,101,95,,821,83,979,117,67.15,93,24,25.81
4103,WAROONA DISTRICT HIGH SCHOOL,55 MILLAR STREET,WAROONA,WA,6215,PO BOX 220,WAROONA,WA,6215,-32.84501404,115.9294134,08 9782 7000,SOUTH METROPOLITAN,District High Schools,DISTRICT HIGH SCHOOLS,KIN,Y10,17,21,25,20,19,19,22,19,,26,16,20,26,,,,250,76,893,,,,,
1441,AUSTRALIAN ISLAMIC COLLEGE - KEWDALE,139 PRESIDENT STREET,KEWDALE,WA,6105,139 PRESIDENT STREET,KEWDALE,WA,6105,-31.97999061,115.9325273,08 9362 5340,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,50,59,82,88,108,111,110,91,,208,193,189,159,148,133,,1729,93,985,102,72.55,131,83,63.36
4005,BELMONT CITY COLLEGE,106 FISHER STREET,BELMONT,WA,6104,106 FISHER STREET,BELMONT,WA,6104,-31.95889136,115.9344344,08 9473 9800,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,174,155,163,170,147,99,,908,82,968,57,80.85,97,26,26.8
4198,HARRISDALE SENIOR HIGH SCHOOL,1 LAVERTON CRESCENT,HARRISDALE,WA,6112,1 LAVERTON CRESCENT,HARRISDALE,WA,6112,-32.127736,115.934521,08 9397 8000,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y10,,,,,,,,,,369,341,295,253,,,,1258,91,1041,,,,,
4112,KIARA COLLEGE,368 BENARA ROAD,KIARA,WA,6054,368 BENARA ROAD,KIARA,WA,6054,-31.87744952,115.9350998,08 6235 7000,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,107,95,92,97,52,44,,487,75,848,,,,,
1415,CAREY BAPTIST COLLEGE,51 WRIGHT ROAD,HARRISDALE,WA,6112,51 WRIGHT ROAD,HARRISDALE,WA,6112,-32.11159158,115.9355423,08 9394 9111,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,76,81,77,76,79,78,76,84,,148,139,136,129,136,114,,1429,94,1097,62,80.3,114,69,60.53
1314,PROVIDENCE CHRISTIAN COLLEGE,19 FURLEY ROAD,SOUTHERN RIVER,WA,6110,19 FURLEY ROAD,SOUTHERN RIVER,WA,6110,-32.09974606,115.9366941,08 9455 1607,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,50,45,57,58,59,60,60,60,,66,57,54,85,70,57,,838,94,1090,38,83.85,57,35,61.4
4169,CANNINGTON COMMUNITY COLLEGE,147 WHARF STREET,CANNINGTON,WA,6107,147 WHARF STREET,CANNINGTON,WA,6107,-32.013947,115.9370814,08 9351 2400,SOUTH METROPOLITAN,District High Schools,DISTRICT HIGH SCHOOLS,KIN,Y10,40,41,31,32,32,37,35,40,,124,111,118,116,,,,757,75,959,,,,,
1463,LANGFORD ISLAMIC COLLEGE,57 SOUTHGATE ROAD,LANGFORD,WA,6147,57 SOUTHGATE ROAD,LANGFORD,WA,6147,-32.04605574,115.9371583,08 9458 5206,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,80,77,93,94,87,91,88,78,,78,70,70,53,47,37,,1043,99,1098,85,75.9,37,26,70.27
1162,ST NORBERT COLLEGE,135 TREASURE ROAD,QUEENS PARK,WA,6107,135 TREASURE ROAD,QUEENS PARK,WA,6107,-32.00436432,115.9403443,08 9350 5433,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,,,,,,,,,,161,161,162,151,141,137,,913,92,1044,42,83,136,43,31.62
4165,SEVENOAKS SENIOR COLLEGE,275 SEVENOAKS STREET,CANNINGTON,WA,6107,275 SEVENOAKS STREET,CANNINGTON,WA,6107,-32.01247925,115.9423052,08 6235 7200,SOUTH METROPOLITAN,Senior Colleges,SECONDARY SCHOOLS,Y11,Y12,,,,,,,,,,,,,,282,163,,445,Not Rated,976,114,68.95,160,38,23.75
4015,CYRIL JACKSON SENIOR CAMPUS,53 REID STREET,BASSENDEAN,WA,6054,PO BOX 108,BASSENDEAN,WA,6934,-31.91290966,115.9424646,08 9413 4700,NORTH METROPOLITAN,Senior Colleges,SECONDARY SCHOOLS,Y11,Y12,,,,,,,,,,,,,,279,124,,403,Not Rated,985,,,,,
1518,FAIRBRIDGE COLLEGE,"FAIRBRIDGE VILLAGE, SOUTH WEST HIGHWAY",PINJARRA,WA,6208,"FAIRBRIDGE VILLAGE, SOUTH WEST HIGHWAY",PINJARRA,WA,6208,-32.60549898,115.9465216,08 9531 7932,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,,,,,,,,,,10,20,30,29,27,35,,151,Not Rated,965,,,,,
1424,ELLENBROOK CHRISTIAN COLLEGE,5 SANTONA BOULEVARD,ELLENBROOK,WA,6069,5 SANTONA BOULEVARD,ELLENBROOK,WA,6069,-31.786783,115.959178,08 9297 9297,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,65,32,29,28,30,20,29,27,,43,45,38,54,49,43,,532,92,1043,88,75.65,43,22,51.16
4055,THORNLIE SENIOR HIGH SCHOOL,2 OVENS ROAD,THORNLIE,WA,6108,2 OVENS ROAD,THORNLIE,WA,6108,-32.06627622,115.959641,08 9376 2100,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,214,214,178,200,202,156,,1164,81,976,125,65.35,146,26,17.81
4177,ELLENBROOK SECONDARY COLLEGE,100 MAIN STREET,ELLENBROOK,WA,6069,100 MAIN STREET,ELLENBROOK,WA,6069,-31.78554916,115.9642807,08 9297 9700,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,215,176,200,327,302,224,,1444,82,986,119,66.25,218,42,19.27
1496,COMMUNICARE ACADEMY,11-13 ROYAL STREET,KENWICK,WA,6107,11-13 ROYAL STREET,KENWICK,WA,6107,-32.03746429,115.9676942,08 6350 1872,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,,,,,,,,,,9,15,15,20,19,6,,84,74,898,,,,,
1450,HOLY CROSS COLLEGE,18 STRATHMORE PARKWAY,ELLENBROOK,WA,6069,18 STRATHMORE PARKWAY,ELLENBROOK,WA,6069,-31.773097,115.973832,08 9297 7600,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,87,60,61,59,59,64,63,63,,108,108,113,90,101,85,,1121,88,1043,98,74.2,83,37,44.58
1252,REHOBOTH CHRISTIAN COLLEGE,94 KENWICK ROAD,KENWICK,WA,6107,94 KENWICK ROAD,KENWICK,WA,6107,-32.03161911,115.977924,08 9452 1833,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,71,67,61,74,52,55,56,66,,71,55,55,50,34,36,,803,98,1114,,,,,
4121,SOUTHERN RIVER COLLEGE,SOUTHERN RIVER ROAD,GOSNELLS,WA,6110,SOUTHERN RIVER ROAD,GOSNELLS,WA,6110,-32.08559751,115.979918,08 9495 3200,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,202,166,159,156,138,116,,937,75,937,121,66,113,23,20.35
1074,GUILDFORD GRAMMAR SCHOOL,11 TERRACE ROAD,GUILDFORD,WA,6055,11 TERRACE ROAD,GUILDFORD,WA,6055,-31.894036,115.981892,08 9377 9222,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,38,37,41,32,46,59,60,58,,112,124,127,118,142,107,,1101,,,52,81.35,107,81,75.7
1499,ST FRANCIS' SCHOOL,10 ALLOA ROAD,MADDINGTON,WA,6109,10 ALLOA ROAD,MADDINGTON,WA,6109,-32.04608954,115.9843375,08 9262 4421,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y10,Y12,,,,,,,,,,,,,9,13,13,,35,Not Rated,962,,,,,
1464,SWAN VALLEY ANGLICAN COMMUNITY SCHOOL,SWANLEIGH PARADE,AVELEY,WA,6069,SWANLEIGH PARADE,AVELEY,WA,6069,-31.79434482,115.9854516,08 9297 9506,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,91,53,67,60,64,85,71,78,,116,110,86,100,84,83,,1148,90,1045,53,81.25,82,41,50
4020,GOVERNOR STIRLING SENIOR HIGH SCHOOL,25 THIRD AVENUE,WOODBRIDGE,WA,6056,25 THIRD AVENUE,WOODBRIDGE,WA,6056,-31.88893826,115.9888056,08 6274 0300,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,181,187,152,137,144,118,,919,83,974,130,63.8,116,50,43.1
1465,COURT GRAMMAR SCHOOL,1 BISHOP ROAD,MUNDIJONG,WA,6123,1 BISHOP ROAD,MUNDIJONG,WA,6123,-32.26965841,115.9912806,08 9526 5000,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,88,46,44,37,38,33,48,52,,74,72,65,52,40,32,,721,,,,,,,
4132,CECIL ANDREWS COLLEGE,39 SEVILLE DRIVE,ARMADALE,WA,6112,PO BOX 295,ARMADALE,WA,6992,-32.14118727,115.9918834,08 9234 3400,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,186,150,157,118,99,78,,788,74,898,139,49.85,77,20,25.97
1306,DALE CHRISTIAN SCHOOL,150 FORREST ROAD,ARMADALE,WA,6112,150 FORREST ROAD,ARMADALE,WA,6112,-32.15932611,115.9987357,08 9497 1444,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,40,47,43,46,40,47,47,44,,51,53,44,44,37,41,,624,85,1014,,,,,
4193,BYFORD SECONDARY COLLEGE,57 ABERNETHY ROAD,BYFORD,WA,6122,57 ABERNETHY ROAD,BYFORD,WA,6122,-32.22343162,116.0018793,08 9550 6100,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,298,318,241,211,220,156,,1444,82,989,116,68,153,33,21.57
1223,LA SALLE COLLEGE,5 LA SALLE AVENUE,MIDDLE SWAN,WA,6056,5 LA SALLE AVENUE,MIDDLE SWAN,WA,6056,-31.87856979,116.004411,08 9449 0601,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,,,,,,,,,,254,254,237,224,212,211,,1392,85,1020,53,81.25,208,59,28.37
4086,MORAWA DISTRICT HIGH SCHOOL,34 GILL STREET,MORAWA,WA,6623,PO BOX 13,MORAWA,WA,6623,-29.21120142,116.0059132,08 9971 2500,MIDWEST,District High Schools,DISTRICT HIGH SCHOOLS,KIN,Y12,13,14,8,12,12,13,14,11,,20,19,18,8,6,6,,174,75,907,,,,,
4203,WESTERN AUSTRALIAN COLLEGE OF AGRICULTURE - MORAWA,WADDILOVE ROAD,MORAWA,WA,6623,PO BOX 15,MORAWA,WA,6623,-29.21120145,116.0059133,08 9971 1158,MIDWEST,Agricultural Colleges,SECONDARY SCHOOLS,Y10,Y12,,,,,,,,,,,,,20,13,18,,51,,,,,,,
4127,YULE BROOK COLLEGE,61 DELLAR ROAD,MADDINGTON,WA,6109,61 DELLAR ROAD,MADDINGTON,WA,6109,-32.04732734,116.0064617,08 9251 8333,SOUTH METROPOLITAN,High Schools,SECONDARY SCHOOLS,Y07,Y10,,,,,,,,,,79,72,75,63,,,,289,74,865,,,,,
1358,JOHN CALVIN CHRISTIAN COLLEGE,18 ROBIN HOOD AVENUE,ARMADALE,WA,6112,18 ROBIN HOOD AVENUE,ARMADALE,WA,6112,-32.14876453,116.0066034,08 9497 0000,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,,,,,,,,,,62,71,83,56,54,46,,372,,,56,80.95,46,31,67.39
1433,YOUTH FUTURES COMMUNITY SCHOOL,1 CALE STREET,MIDLAND,WA,6056,1 CALE STREET,MIDLAND,WA,6056,-31.89226285,116.0066971,08 9250 6222,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,,,,,,,,,,1,10,18,27,14,16,,86,,,,,,,
1357,JOHN WOLLASTON ANGLICAN COMMUNITY SCHOOL,CENTRE ROAD,CAMILLO,WA,6111,CENTRE ROAD,CAMILLO,WA,6111,-32.104726,116.007834,08 9495 8100,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,88,43,57,47,63,65,64,62,,95,74,87,76,72,75,,968,87,1054,40,83.3,75,29,38.67
1449,SOWILO COMMUNITY HIGH SCHOOL,UNIT 1/2 GILLAM DRIVE,KELMSCOTT,WA,6111,UNIT 1/2 GILLAM DRIVE,KELMSCOTT,WA,6111,-32.13104805,116.0098146,08 9390 1995,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,,,,,,,,,,7,12,13,17,20,20,,89,73,955,,,,,
4116,DARLING RANGE SPORTS COLLEGE,117 BERKSHIRE ROAD,FORRESTFIELD,WA,6058,117 BERKSHIRE ROAD,FORRESTFIELD,WA,6058,-31.97566063,116.0108597,08 9453 0100,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,192,169,205,165,129,134,,994,83,976,137,52.4,129,44,34.11
4058,KELMSCOTT SENIOR HIGH SCHOOL,CNR THIRD AVENUE/CAMMILLO ROAD,KELMSCOTT,WA,6111,PO BOX 21,KELMSCOTT,WA,6991,-32.12147619,116.0110534,08 9495 7400,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,257,233,218,193,212,182,,1295,81,983,113,69.7,181,55,30.39
1304,SWAN CHRISTIAN COLLEGE,381 GREAT NORTHERN HIGHWAY,MIDDLE SWAN,WA,6056,381 GREAT NORTHERN HIGHWAY,MIDDLE SWAN,WA,6056,-31.85830659,116.0117533,08 9374 8300,NORTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,36,43,49,57,55,60,79,82,,151,168,181,190,168,163,,1482,93,1064,93,74.65,163,64,39.26
1308,LUMEN CHRISTI COLLEGE,81 STATION STREET,MARTIN,WA,6110,81 STATION STREET,MARTIN,WA,6110,-32.06737479,116.0120135,08 9394 9300,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,,,,,,,,,,174,160,173,158,153,159,,977,88,1013,122,65.9,157,46,29.3
4003,ARMADALE SENIOR HIGH SCHOOL,169 SOUTH WESTERN HIGHWAY,ARMADALE,WA,6112,PO BOX 189,ARMADALE,WA,6992,-32.16152603,116.0143523,08 9497 6400,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,153,142,149,136,93,41,,714,74,931,,,,,
4052,CENTRAL MIDLANDS SENIOR HIGH SCHOOL,RANFURLY STREET,MOORA,WA,6510,RANFURLY STREET,MOORA,WA,6510,-30.64115241,116.0152142,08 9653 9200,WHEATBELT,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,38,40,29,26,30,19,,182,83,956,,,,,
1253,HILLSIDE CHRISTIAN COLLEGE,336 HAWTIN ROAD,FORRESTFIELD,WA,6058,336 HAWTIN ROAD,FORRESTFIELD,WA,6058,-31.97978892,116.0173602,08 9453 2644,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,19,28,27,26,27,33,28,27,,35,28,24,21,14,9,,346,82,1025,,,,,
1469,HERITAGE COLLEGE PERTH,339 HAWTIN ROAD,FORRESTFIELD,WA,6058,339 HAWTIN ROAD,FORRESTFIELD,WA,6058,-31.98220269,116.0196448,08 9453 1833,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,4,12,3,9,9,5,13,13,,9,11,7,9,6,5,,115,88,1028,,,,,
4066,BULLSBROOK COLLEGE,CHITTERING ROAD,BULLSBROOK,WA,6084,CHITTERING ROAD,BULLSBROOK,WA,6084,-31.66171848,116.033179,08 9501 7600,NORTH METROPOLITAN,K-12 SCHOOLS,K-12 SCHOOLS,KIN,Y12,40,58,49,71,65,67,89,73,,79,88,70,74,87,51,,961,80,979,,,,,
1102,MAZENOD COLLEGE,55 GLADYS ROAD,LESMURDIE,WA,6076,55 GLADYS ROAD,LESMURDIE,WA,6076,-32.006679,116.0388409,08 9291 6500,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,Y07,Y12,,,,,,,,,,147,159,143,147,127,122,,845,92,1067,25,85.25,122,61,50
4118,SWAN VIEW SENIOR HIGH SCHOOL,GLADSTONE AVENUE,SWAN VIEW,WA,6056,GLADSTONE AVENUE,SWAN VIEW,WA,6056,-31.8874797,116.0443339,08 9294 6100,NORTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,116,132,107,118,68,101,,642,77,922,,,,,
4095,PEMBERTON DISTRICT HIGH SCHOOL,BURMA ROAD,PEMBERTON,WA,6260,BURMA ROAD,PEMBERTON,WA,6260,-34.44748,116.04588,08 9776 5800,SOUTH WEST,District High Schools,DISTRICT HIGH SCHOOLS,KIN,Y10,12,5,12,11,19,13,14,17,,10,9,6,12,,,,140,78,990,,,,,
1279,SOUTHERN HILLS CHRISTIAN COLLEGE,86 ADMIRAL ROAD,BEDFORDALE,WA,6112,86 ADMIRAL ROAD,BEDFORDALE,WA,6112,-32.1816559,116.0483177,08 9497 1751,SOUTH METROPOLITAN,NON-GOVT SCHOOLS,NON-GOVERNMENT,KIN,Y12,46,16,20,23,27,22,19,21,,34,20,22,21,30,17,,338,87,1038,,,,,
4133,LESMURDIE SENIOR HIGH SCHOOL,21 REID ROAD,LESMURDIE,WA,6076,21 REID ROAD,LESMURDIE,WA,6076,-32.01252075,116.0516431,08 9291 1200,SOUTH METROPOLITAN,Senior High Schools,SECONDARY SCHOOLS,Y07,Y12,,,,,,,,,,188,188,195,183,178,125,,1057,92,1032,71,78.95,124,44,35.48
